made_date,slug,card_path,asset,horizon,expected_median,expected_mean,hist_p25,hist_p75,n_analogues,sentiment,confidence,directional,anchor_date,realized_return,in_iqr,hit_dir,abs_error,eval_date
2026-05-28,eu-ccp-equivalence-signal,2026-05-28/news_01.md,BTP_BUND_SPREAD,1,-5.31,-6.58,,,3,risk-off per UK financial services; bullish marginale per Eurex,medium,1,2026-05-28,-0.7089,,1,4.6011,2026-06-08
2026-05-28,eu-ccp-equivalence-signal,2026-05-28/news_01.md,BTP_BUND_SPREAD,3,-2.98,-1.52,,,3,risk-off per UK financial services; bullish marginale per Eurex,medium,1,2026-05-28,-0.5421,,1,2.4379,2026-06-08
2026-05-28,eu-ccp-equivalence-signal,2026-05-28/news_01.md,BTP_BUND_SPREAD,5,-3.0,-2.69,,,3,risk-off per UK financial services; bullish marginale per Eurex,medium,1,2026-05-28,4.4482,,0,7.4482,2026-06-08
2026-05-28,eu-ccp-equivalence-signal,2026-05-28/news_01.md,BTP_BUND_SPREAD,10,10.35,1.37,,,3,risk-off per UK financial services; bullish marginale per Eurex,medium,1,2026-05-28,7.2004,,1,3.1496,2026-06-15
2026-05-28,eu-ccp-equivalence-signal,2026-05-28/news_01.md,GBPUSD=X,1,0.35,-0.05,-0.61,0.7,3,risk-off per UK financial services; bullish marginale per Eurex,medium,1,2026-05-28,0.3014,1,1,0.0486,2026-05-31
2026-05-28,eu-ccp-equivalence-signal,2026-05-28/news_01.md,GBPUSD=X,3,-0.29,-3.3,-5.4,0.31,3,risk-off per UK financial services; bullish marginale per Eurex,medium,1,2026-05-28,0.3487,0,0,0.6387,2026-06-01
2026-05-28,eu-ccp-equivalence-signal,2026-05-28/news_01.md,GBPUSD=X,5,0.93,-2.15,-4.01,1.25,3,risk-off per UK financial services; bullish marginale per Eurex,medium,1,2026-05-28,0.2515,1,1,0.6785,2026-06-08
2026-05-28,eu-ccp-equivalence-signal,2026-05-28/news_01.md,GBPUSD=X,10,0.89,-3.25,-5.86,1.43,3,risk-off per UK financial services; bullish marginale per Eurex,medium,1,2026-05-28,-0.4089,1,0,1.2989,2026-06-15
2026-05-28,eu-ccp-equivalence-signal,2026-05-28/news_01.md,^STOXX50E,1,0.17,-2.61,-4.23,0.39,3,risk-off per UK financial services; bullish marginale per Eurex,medium,1,2026-05-28,-0.0755,1,0,0.2455,2026-05-31
2026-05-28,eu-ccp-equivalence-signal,2026-05-28/news_01.md,^STOXX50E,3,-0.31,-2.85,-4.75,0.33,3,risk-off per UK financial services; bullish marginale per Eurex,medium,1,2026-05-28,0.8710,0,0,1.1810,2026-06-08
2026-05-28,eu-ccp-equivalence-signal,2026-05-28/news_01.md,^STOXX50E,5,1.0,-1.05,-2.35,1.27,3,risk-off per UK financial services; bullish marginale per Eurex,medium,1,2026-05-28,0.7964,1,1,0.2036,2026-06-08
2026-05-28,eu-ccp-equivalence-signal,2026-05-28/news_01.md,^STOXX50E,10,1.15,-1.54,-3.67,1.93,3,risk-off per UK financial services; bullish marginale per Eurex,medium,1,2026-05-28,0.0306,1,1,1.1194,2026-06-15
2026-05-29,equities-record-ai-trade,2026-05-29/news_03.md,BTC-USD,1,0.48,0.59,-1.03,1.04,10,bullish,medium,1,2026-05-30,0.6047,1,1,0.1247,2026-05-31
2026-05-29,equities-record-ai-trade,2026-05-29/news_03.md,BTC-USD,3,0.05,0.59,-1.33,2.02,10,bullish,medium,0,2026-05-30,-4.5512,0,,4.6012,2026-06-08
